,Artist,Name,Genre,Unnamed: 0,Weekly_rank_avg,Peak_Position,Weeks_on_Chart
129,THE CHAINSMOKERS,WHO DO YOU LOVE,"FUTURE BASS,DANCE-POP,DANCE,AUSTRALIA,POP",0.01997831810438284,0.9366459627329193,0.520408163265306,0.16470588235294117
130,MABEL,DON'T CALL ME UP,"R&;B,UK,POP",0.020133188787362553,0.8732919254658386,0.6632653061224489,0.09411764705882353
131,LIL DICKY,EARTH,"MEMES,CHARITY,R&;B,CONSCIOUS HIP-HOP,COMEDY,SATIRE,AFROBEATS,UK,CLIMATE CHANGE,POP,HIP-HOP,RAP",0.020288059470342266,0.6024534161490683,0.16326530612244897,0.047058823529411764
132,LIZZO,JUICE,"ELECTRO-FUNK,FUNK-POP,FUNK,DANCE,DANCE-POP,ALTERNATIVE POP,SYNTH-POP,R&;B",0.020442930153321978,0.8218167701863355,0.9387755102040816,0.0
133,MALUMA,HP,"COLOMBIA,REGGAETON,LATIN POP,LATIN MUSIC,LATIN URBAN,EN ESPA\XC3\XB1OL,POP",0.020597800836301687,0.9472049689440993,0.5183673469387754,0.1341176470588235
134,YNW MELLY,MIXED PERSONALITIES,"RAP,TRAP",0.0207526715192814,0.48472049689441,0.4183673469387755,0.18823529411764706
135,BAZZI,PARADISE,POP,0.020907542202261112,0.5940062111801242,0.9183673469387754,0.011764705882352941
136,JHENE AIKO,TRIGGERED,"WEST COAST,R&;B",0.021062412885240824,0.5596273291925467,0.510204081632653,0.011764705882352941
137,MAROON 5,GIRLS LIKE YOU,"POP-ROCK,EAST COAST,REMIX,RAP,POP",0.021217283568220537,0.8979296066252587,0.0,0.5882352941176471
138,"TYLER, THE CREATOR",I THINK,"ELECTRO-FUNK,FUNK,ALTERNATIVE DANCE,NU DISCO,DISCO,NIGERIA,RAP,NEO SOUL,ALTERNATIVE R&;B,R&;B,ALTERNATIVE,EXPERIMENTAL,WEST COAST",0.02137215425120025,0.662111801242236,0.6489795918367347,0.06823529411764705
139,DJ KHALED,CELEBRATE,"TRAP,POP,R&;B",0.02152702493417996,0.6832298136645963,0.4591836734693878,0.08705882352941176
140,DJ KHALED,JEALOUS,"RAP,R&;B",0.02168189561715967,0.23130434782608694,0.46530612244897956,0.2070588235294118
141,"TYLER, THE CREATOR",RUNNING OUT OF TIME,"RAP,NEO SOUL,ALTERNATIVE R&;B,R&;B,EXPERIMENTAL,ALTERNATIVE,WEST COAST",0.021836766300139383,0.8112577639751554,0.6408163265306122,0.07294117647058822
142,"TYLER, THE CREATOR",IGOR'S THEME,"ALTERNATIVE,RAP,EXPERIMENTAL",0.021991636983119095,0.7571428571428572,0.4387755102040816,0.06588235294117648
