,Artist,Name,Weekly_rank_avg,Peak_Position,Weeks_on_Chart,Week,Date,Genre,Features
1987,Clean Bandit,Rather Be,80.85,10.0,31.0,2015-01-23,"January 17, 2014","Electro-Pop,Deep House,Eurodance,Dance-Pop,Classical Crossover,UK,Synth-Pop,Baroque Pop,Electronic,House,Pop",Jess Glynne
1988,Keith Urban,Somewhere In My Car,23.772727272727273,49.0,20.0,2015-01-23,,"Country,Rock",
1989,Parmalee,Close Your Eyes,58.5,69.0,16.0,2015-01-23,"February 3, 2014",Country,
1990,Sophia Grace,Best Friends,79.4375,,,2015-01-23,"November 30, 2014",Pop,
1991,Blake Shelton,Neon Light,89.45454545454545,43.0,20.0,2015-01-23,"August 18, 2014","Non-Music,Country,Rock",
1992,Jason Derulo,Trumpets,48.15384615384615,14.0,32.0,2015-01-16,"November 7, 2013","Pop,R&;B",
1993,Nicki Minaj,Anaconda,90.0,2.0,22.0,2015-01-16,"August 4, 2014","Memes,Rap,Pop,Producer",
1994,Rich Gang,Lifestyle,31.46153846153846,16.0,25.0,2015-01-16,"June 5, 2014","Atlanta,Trap,Hip-Hop,Rap","Young Thug, Rich Homie Quan"
1995,Colbie Caillat,Try,10.25,55.0,20.0,2015-01-16,"June 9, 2014","Feminism,Pop",
1996,Shawn Mendes,Something Big,88.125,80.0,3.0,2015-01-16,"November 7, 2014",Pop,
1997,"Nico, Vinz",In Your Arms,67.52631578947368,72.0,12.0,2015-01-16,"October 21, 2013","Norge,Pop,Rap",
1998,Nicki Minaj,Bed Of Lies,77.0,62.0,6.0,2015-01-16,"November 16, 2014","Soul Pop,R&;B,Pop,Rap",Skylar Grey
1999,Lorde,Yellow Flicker Beat,39.1578947368421,34.0,9.0,2015-01-16,"September 29, 2014","New Zealand,Art Pop,Adult Alternative,Alternative Dance,Electro-Pop,Electronic,Dance-Pop,Soundtrack,Screen,Producer,Pop",
2000,Ariana Grande,Santa Tell Me,18.966666666666665,42.0,5.0,2015-01-09,"November 24, 2014","R&;B,Christmas,Pop",
2001,Jessie J,Burnin' Up,95.0,86.0,6.0,2015-01-09,"January 1, 2014","R&;B,UK,Pop,Rap",2 Chainz
2002,Charli XCX,Break The Rules,88.0,91.0,3.0,2015-01-09,"August 19, 2014","Electronic Rock,UK,Pop",
2003,"Juicy J, Wiz Khalifa, Ty Dolla $ign",Shell Shocked,41.666666666666664,84.0,3.0,2015-01-09,"July 21, 2014","Soundtrack,Rap","Kill The Noise, Madsonik"
2004,Meghan Trainor,Title,20.236842105263158,,,2015-01-09,"September 9, 2014",Pop,
2005,Matt McAndrew,Wasted Love,92.33333333333333,,,2015-01-02,"December 15, 2014","Rock,The Voice,Pop",
2006,Craig Wayne Boyd,My Baby's Got A Smile On Her Face,97.16666666666667,,,2015-01-02,,"Pop,The Voice,Country",
2007,Chris Jamison,Velvet,45.577777777777776,,,2015-01-02,"December 15, 2014","The Voice,Pop",
2008,T.I.,About The Money,45.5,42.0,20.0,2015-01-02,"June 3, 2014","Atlanta,Trap,Rap",Young Thug
2009,Damien,Soldier,72.94444444444444,,,2015-01-02,,"The Voice,Pop",
2010,"Maddie, Tae",Girl In A Country Song,66.0,54.0,20.0,2015-01-02,,"Satire,Pop Country,Country,Rock",
2011,Nicki Minaj,Get On Your Knees,70.625,,,2015-01-02,"December 12, 2014","Pop,Rap",Ariana Grande
2012,Pitbull,Fireball,84.08333333333333,23.0,20.0,2015-01-02,"July 23, 2014",Rap,John Ryan
2013,Echosmith,Cool Kids,59.0,13.0,23.0,2014-12-26,"May 31, 2013","Pop,Rock",
2014,Chris Brown,New Flame,55.22222222222222,27.0,22.0,2014-12-26,"June 30, 2014","R&;B,Rap","Usher, Rick Ross"
2015,Ed Sheeran,Make It Rain,63.4,34.0,2.0,2014-12-26,"December 2, 2014","Screen,UK,Pop",
2016,Craig Wayne Boyd,The Old Rugged Cross,89.6875,,,2014-12-26,,Country,
2017,Rae Sremmurd,No Flex Zone,21.324324324324323,36.0,20.0,2014-12-26,"May 18, 2014","Trap,Rap",
2018,Sam Smith,Have Yourself A Merry Little Christmas,17.576923076923077,,,2014-12-26,"December 6, 2014",Pop,
2019,"The White Buffalo, The Forest Rangers",Come Join The Murder,87.5,,,2014-12-26,"February 24, 2015","Rock,Folk Rock",
2020,Matt McAndrew,The Blower's Daughter,50.82857142857143,,,2014-12-19,,Pop,
2021,Drake,0 To 100 / The Catch Up,59.5,35.0,20.0,2014-12-19,"June 1, 2014","Canada,Producer,Rap",
2022,Jason Aldean,Burnin' It Down,32.88,12.0,20.0,2014-12-19,"July 22, 2014",Country,
2023,"Big, Rich",Look At You,95.5,73.0,14.0,2014-12-19,"January 28, 2014",Country,
2024,Little Big Town,Day Drinking,67.0,40.0,20.0,2014-12-19,"June 9, 2014",Country,
2025,Scotty McCreery,Feelin' It,83.9,84.0,11.0,2014-12-19,"October 15, 2013",Country,
2026,Ariana Grande,Break Free,81.10526315789474,4.0,22.0,2014-12-12,"July 3, 2014","Electro-Pop,Dance,Pop",Zedd
2027,Iggy Azalea,Fancy,28.40983606557377,1.0,39.0,2014-12-12,"February 17, 2014","Fashion,Hyphy,Electronic,UK Rap,UK,Australia,Electro-Hop,Pop,Rap",Charli XCX
2028,Eminem,Guts Over Fear,72.42857142857143,22.0,3.0,2014-12-12,"August 25, 2014","Pop,Producer,SHADYXV,Rap",Sia
2029,Craig Wayne Boyd,I Walk The Line,94.0,,,2014-12-12,,Country,
2030,Katy Perry,This Is How We Do,86.5,24.0,18.0,2014-12-12,"October 18, 2013","Dance-Pop,Pop",
2031,Gwen Stefani,Baby Don't Lie,65.66666666666667,46.0,6.0,2014-12-12,"October 18, 2014","R&;B,Reggae,Pop",
2032,Luke Bryan,Roller Coaster,44.8,43.0,20.0,2014-12-12,"July 14, 2014","Country,Rock",
2033,John Legend,All Of Me,59.68421052631579,1.0,59.0,2014-12-05,"August 12, 2013","Piano,Easy Listening,Adult Contemporary,Soul Pop,Soul,Ballad,Pop,R&;B",
2034,Enrique Iglesias,Bailando,74.21428571428571,12.0,30.0,2014-12-05,"March 18, 2014","Electro House,Dance-Pop,Electro-Pop,En Espa\xc3\xb1ol,Pop,Latin Pop","Descemer Bueno, Gente de Zona"
2035,Charli XCX,Boom Clap,87.625,8.0,25.0,2014-12-05,"June 15, 2014","Electro-Pop,Soundtrack,Screen,UK,Pop",
2036,Pharrell Williams,Happy,39.15909090909091,1.0,47.0,2014-12-05,"November 21, 2013","Funk-Pop,Funk,Adult Alternative,Adult Contemporary,Screen,Soundtrack,Soul Pop,R&;B,Pop",
2037,Band Aid 30,Do They Know It's Christmas?,54.095238095238095,,,2014-12-05,"November 17, 2014","Charity,UK,Pop",
2038,Florida Georgia Line,Dirt,78.8,11.0,20.0,2014-12-05,"July 8, 2014","Country,Rock",
2039,5 Seconds Of Summer,Good Girls,69.0,34.0,2.0,2014-12-05,"November 17, 2014","Australia,Punk Rock,Pop-Rock,Pop,Rock",
2040,One Direction,Stockholm Syndrome,57.59375,,,2014-12-05,"November 17, 2014","Boy Band,UK,Pop",
2041,Wiz Khalifa,You And Your Friends,50.6,82.0,10.0,2014-12-05,"August 19, 2014",Rap,"Snoop Dogg, Ty Dolla $ign"
2042,"Nico, Vinz",Am I Wrong,59.0,4.0,31.0,2014-11-28,"April 12, 2013","Norge,Afrobeats,Pop",
2043,Maroon 5,Maps,67.5,6.0,22.0,2014-11-28,"June 16, 2014","Adult Contemporary,Adult Alternative,Pop-Rock,Pop",
2044,Sam Hunt,Leave The Night On,81.0,30.0,21.0,2014-11-28,"July 16, 2014","Rock,Country",
2045,5 Seconds Of Summer,Amnesia,81.77777777777777,16.0,20.0,2014-11-28,"July 15, 2014","Australia,Punk Rock,Pop-Rock,Pop,Rock",
2046,One Direction,18,55.9,,,2014-11-28,"November 17, 2014","Boy Band,UK,Pop",
2047,One Direction,Where Do Broken Hearts Go,88.81818181818181,,,2014-11-28,"November 17, 2014","Boy Band,UK,Pop",
