,Artist,Name,Peak_Position,Weeks_on_Chart,Week,Date,Genre,Features
977,"Khalid, Kane Brown",Saturday Nights,57.0,12.0,2019-05-04,"January 11, 2019","Remix,Country,R&;B,Pop",
978,Lil Baby,Pure Cocaine,46.0,16.0,2019-05-04,"November 30, 2018","Motown,Trap,Rap",
980,Scotty McCreery,This Is It,42.0,20.0,2019-05-04,"May 7, 2018",Country,
981,Billie Eilish,My Strange Addiction,43.0,4.0,2019-05-04,"March 29, 2019","Alternative Pop,Alternative,Pop",
983,Alec Benjamin,Let Me Down Slowly,79.0,9.0,2019-05-04,"January 7, 2019","Pop,Remix",Alessia Cara
984,Billie Eilish,Xanny,35.0,4.0,2019-05-04,"March 29, 2019","Indie,Alternative,Alternative Pop,Art Rock,Glam Rock,Indie Pop,Pop",
985,Michael Ray,One That Got Away,67.0,9.0,2019-05-04,"June 1, 2018",Country,
1030,Bad Bunny,MIA,5.0,27.0,2019-04-27,"October 11, 2018","Latin Urban,Reggaeton,Pop,Puerto Rico,Canada,Trap,R&;B,Rap,Latin Music,Latin Trap,En Espa\xc3\xb1ol",Drake
1034,Dan + Shay,Tequila,21.0,50.0,2019-04-27,"January 10, 2018",Country,
1035,Cardi B,Money,13.0,26.0,2019-04-27,"October 23, 2018","Hip-Hop,Trap,Rap",
1051,Five Finger Death Punch,Blue On Black,,,2019-04-27,"April 12, 2019",Rock,"Kenny Wayne Shepherd, Brantley Gilbert &"
1067,Nipsey Hussle,Double Up,65.0,3.0,2019-04-27,"February 16, 2018","West Coast,Rap","Belly, DOM KENNEDY"
1068,FLETCHER,Undrunk,61.0,6.0,2019-04-27,"January 25, 2019",Pop,
1077,Nipsey Hussle,Last Time That I Checc'd,76.0,3.0,2019-04-27,"February 16, 2018","West Coast,Rap",YG
1082,Riley Green,There Was This Girl,70.0,8.0,2019-04-27,"June 29, 2018",Country,
1139,Khalid,My Bad,55.0,3.0,2019-04-20,"March 7, 2019",R&;B,
1152,"Ariana Grande, Victoria Monet",Monopoly,69.0,2.0,2019-04-20,"April 1, 2019","R&;B,Pop",
1167,"Khalid, SAFE",Don't Pretend,,,2019-04-20,"April 5, 2019","R&;B,Pop",
1170,Khalid,Bad Luck,,,2019-04-20,"April 5, 2019",Pop,
1175,Billie Eilish,All The Good Girls Go To Hell,46.0,2.0,2019-04-20,"March 29, 2019","Alternative Pop,Alternative,Trip-Hop,Soul Pop,Electro-Pop,Electronic,Pop",
1176,Khalid,Right Back,,,2019-04-20,"April 5, 2019",Pop,
1178,Aventura,Inmortal,,,2019-04-20,"April 5, 2019","Dominican Republic,Latin Music,En Espa\xc3\xb1ol,Bachata,Pop",
1180,Nipsey Hussle,Dedication,93.0,2.0,2019-04-20,"February 13, 2018","West Coast,Rap",Kendrick Lamar
1183,Nipsey Hussle,Victory Lap,,,2019-04-20,"February 16, 2018","West Coast,Rap",Stacy Barthe
1232,Kodak Black,ZEZE,2.0,25.0,2019-04-13,"October 12, 2018","East Coast,Motown,Memes,Trap,Rap","Travis Scott, Offset"
1236,Billie Eilish,I Love You,,,2019-04-13,"March 29, 2019","Indie Pop,Alternative,Alternative Pop,R&;B,Folk,Indie,Ballad,Acoustic,Pop",
1245,Billie Eilish,Ilomilo,,,2019-04-13,"March 29, 2019","Chillhop,Indie Pop,Alternative Pop,Dance-Pop,Pop",
