,Artist,Name,Peak_Position,Weeks_on_Chart,Week,Date,Genre,Features
22628,Ed Sheeran,Make It Rain,34.0,2.0,2014-12-26,"December 2, 2014","Screen,UK,Pop",
22631,Craig Wayne Boyd,The Old Rugged Cross,,,2014-12-26,,Country,
22638,Rae Sremmurd,No Flex Zone,36.0,20.0,2014-12-26,"May 18, 2014","Trap,Rap",
22658,Sam Smith,Have Yourself A Merry Little Christmas,,,2014-12-26,"December 6, 2014",Pop,
22661,"The White Buffalo, The Forest Rangers",Come Join The Murder,,,2014-12-26,"February 24, 2015","Rock,Folk Rock",
22705,Matt McAndrew,The Blower's Daughter,,,2014-12-19,,Pop,
22728,Drake,0 To 100 / The Catch Up,35.0,20.0,2014-12-19,"June 1, 2014","Canada,Producer,Rap",
22742,Jason Aldean,Burnin' It Down,12.0,20.0,2014-12-19,"July 22, 2014",Country,
22744,"Big, Rich",Look At You,73.0,14.0,2014-12-19,"January 28, 2014",Country,
22745,Little Big Town,Day Drinking,40.0,20.0,2014-12-19,"June 9, 2014",Country,
22749,Scotty McCreery,Feelin' It,84.0,11.0,2014-12-19,"October 15, 2013",Country,
22798,Ariana Grande,Break Free,4.0,22.0,2014-12-12,"July 3, 2014","Electro-Pop,Dance,Pop",Zedd
22800,Iggy Azalea,Fancy,1.0,39.0,2014-12-12,"February 17, 2014","Fashion,Hyphy,Electronic,UK Rap,UK,Australia,Electro-Hop,Pop,Rap",Charli XCX
22825,Eminem,Guts Over Fear,22.0,3.0,2014-12-12,"August 25, 2014","Pop,Producer,SHADYXV,Rap",Sia
22837,Craig Wayne Boyd,I Walk The Line,,,2014-12-12,,Country,
22848,Katy Perry,This Is How We Do,24.0,18.0,2014-12-12,"October 18, 2013","Dance-Pop,Pop",
22851,Gwen Stefani,Baby Don't Lie,46.0,6.0,2014-12-12,"October 18, 2014","R&;B,Reggae,Pop",
22853,Luke Bryan,Roller Coaster,43.0,20.0,2014-12-12,"July 14, 2014","Country,Rock",
22894,John Legend,All Of Me,1.0,59.0,2014-12-05,"August 12, 2013","Piano,Easy Listening,Adult Contemporary,Soul Pop,Soul,Ballad,Pop,R&;B",
22896,Enrique Iglesias,Bailando,12.0,30.0,2014-12-05,"March 18, 2014","Electro House,Dance-Pop,Electro-Pop,En Espa\xc3\xb1ol,Pop,Latin Pop","Descemer Bueno, Gente de Zona"
22899,Charli XCX,Boom Clap,8.0,25.0,2014-12-05,"June 15, 2014","Electro-Pop,Soundtrack,Screen,UK,Pop",
22900,Pharrell Williams,Happy,1.0,47.0,2014-12-05,"November 21, 2013","Funk-Pop,Funk,Adult Alternative,Adult Contemporary,Screen,Soundtrack,Soul Pop,R&;B,Pop",
22912,Band Aid 30,Do They Know It's Christmas?,,,2014-12-05,"November 17, 2014","Charity,UK,Pop",
22926,Florida Georgia Line,Dirt,11.0,20.0,2014-12-05,"July 8, 2014","Country,Rock",
22932,5 Seconds Of Summer,Good Girls,34.0,2.0,2014-12-05,"November 17, 2014","Australia,Punk Rock,Pop-Rock,Pop,Rock",
22943,One Direction,Stockholm Syndrome,,,2014-12-05,"November 17, 2014","Boy Band,UK,Pop",
22944,Wiz Khalifa,You And Your Friends,82.0,10.0,2014-12-05,"August 19, 2014",Rap,"Snoop Dogg, Ty Dolla $ign"
22984,"Nico, Vinz",Am I Wrong,4.0,31.0,2014-11-28,"April 12, 2013","Norge,Afrobeats,Pop",
22986,Maroon 5,Maps,6.0,22.0,2014-11-28,"June 16, 2014","Adult Contemporary,Adult Alternative,Pop-Rock,Pop",
22991,Sam Hunt,Leave The Night On,30.0,21.0,2014-11-28,"July 16, 2014","Rock,Country",
23011,5 Seconds Of Summer,Amnesia,16.0,20.0,2014-11-28,"July 15, 2014","Australia,Punk Rock,Pop-Rock,Pop,Rock",
23026,One Direction,18,,,2014-11-28,"November 17, 2014","Boy Band,UK,Pop",
23027,One Direction,Where Do Broken Hearts Go,,,2014-11-28,"November 17, 2014","Boy Band,UK,Pop",
23029,Migos,Handsome And Wealthy,79.0,8.0,2014-11-28,"February 25, 2014",Rap,
23031,Bobby Shmurda,Bobby Bitch,92.0,3.0,2014-11-28,"October 11, 2014","R&;B,Hip-Hop,Trap,Rap",
23032,The Script,Superheroes,73.0,9.0,2014-11-28,"July 21, 2014","Ireland,Pop",
23035,Snootie Wild,Made Me,93.0,3.0,2014-11-28,"September 23, 2014","Trap,Rap",K Camp
23112,One Direction,Ready To Run,,,2014-11-21,"November 17, 2014","Boy Band,UK,Pop",
23179,Disclosure,Latch,7.0,33.0,2014-11-14,"October 4, 2012","Electronic,Pop",Sam Smith
23198,T.I.,No Mediocre,33.0,20.0,2014-11-14,"June 17, 2014","West Coast,Rap",Iggy Azalea
23199,Taylor Swift,Welcome To New York,48.0,2.0,2014-11-14,"October 20, 2014","Synth-Pop,Pop",
23201,OK Go,I Won't Let You Down,,,2014-11-14,"June 17, 2014",Rock,
23215,Kenny Chesney,American Kids,23.0,20.0,2014-11-14,"June 20, 2014","Country,Rock",
23227,Cole Swindell,Hope You Get Lonely Tonight,50.0,20.0,2014-11-14,"March 24, 2014",Country,
23273,Coldplay,A Sky Full Of Stars,10.0,26.0,2014-11-07,"May 2, 2014","UK,Electronic Rock,Alternative Rock,Alternative,Electronic,Rock",
23296,Brantley Gilbert,Small Town Throwdown,67.0,20.0,2014-11-07,"May 19, 2014","Country,Rock","Justin Moore, Thomas Rhett"
23309,Kiesza,Hideaway,51.0,14.0,2014-11-07,"February 12, 2014","Electronic,Pop,Deep House",
23316,Tyga,Hookah,85.0,11.0,2014-11-07,"March 17, 2014",Rap,Young Thug
23321,Migos,Fight Night,69.0,16.0,2014-11-07,"February 25, 2014",Rap,
23322,OG Maco,U Guessed It,90.0,4.0,2014-11-07,"September 26, 2014","Remix,Hardcore Hip-Hop,Trap,Memes,Rap",2 Chainz
23365,Tinashe,2 On,24.0,24.0,2014-10-31,"January 21, 2014","R&;B,Rap",ScHoolboy Q
23366,Ariana Grande,Problem,2.0,25.0,2014-10-31,"April 28, 2014","Australia,Screen,Producer,Dance-Pop,R&;B,Rap,Pop",Iggy Azalea
23371,Katy Perry,Dark Horse,1.0,57.0,2014-10-31,"October 18, 2013","Trap,Rap,Producer,Pop",Juicy J
23378,Chase Rice,Ready Set Roll,54.0,21.0,2014-10-31,"November 11, 2013",Country,
23381,Becky G,Shower,16.0,20.0,2014-10-31,"April 23, 2014","R&;B,Pop",
23385,Childish Gambino,V. 3005,64.0,20.0,2014-10-31,"October 22, 2013","Producer,Rap",
23387,ScHoolboy Q,Studio,38.0,20.0,2014-10-31,"February 25, 2014","West Coast,Rap",BJ The Chicago Kid
23406,Jimmy Fallon,EW!,26.0,2.0,2014-10-31,"October 7, 2014","Comedy,Screen,Pop,Rap",will.i.am
23407,Glen Campbell,I'm Not Gonna Miss You,,,2014-10-31,,"Screen,Country",
23490,Avicii,The Days,,,2014-10-24,"October 3, 2014","EDM,House,Dance,Pop",
23498,Lil Wayne,Believe Me,26.0,20.0,2014-10-24,"May 6, 2014","Trap,Canada,Producer,Rap",Drake
23506,TeeFLii,24 Hours,85.0,7.0,2014-10-24,"March 26, 2014","R&;B,Rap",2 Chainz
23508,Yo Gotti,Errrbody,,,2014-10-24,"July 10, 2014",Rap,
23509,The Swon Brothers,Later On,86.0,9.0,2014-10-24,"December 10, 2013",Country,
23559,OneRepublic,Counting Stars,2.0,68.0,2014-10-17,"March 25, 2013","Folk Rock,Rock,Pop,Electro-Pop,Folk,Pop-Rock",
23571,Lady Antebellum,Bartender,31.0,20.0,2014-10-17,"May 19, 2014",Country,
23575,Florida Georgia Line,Bumpin' The Night,,,2014-10-17,"October 14, 2014","Country,Rock",
23596,Demi Lovato,Really Don't Care,26.0,18.0,2014-10-17,"May 20, 2014","Alternative Pop,Bubblegum Pop,Dance-Pop,Pop",Cher Lloyd
23601,Rich Homie Quan,Walk Thru,74.0,7.0,2014-10-17,"November 26, 2013",Rap,Problem
23603,Tim McGraw,Meanwhile Back At Mama's,41.0,19.0,2014-10-17,"September 16, 2014","Rock,Country",Faith Hill
23669,Dierks Bentley,Drunk On A Plane,27.0,20.0,2014-10-10,"February 25, 2014",Country,
23690,Train,Angel In Blue Jeans,79.0,3.0,2014-10-10,"June 9, 2014","Rock,Pop-Rock",
23693,Lil Jon,Bend Ova,92.0,3.0,2014-10-10,"June 16, 2014",Rap,Tyga
23695,alt,Left Hand Free,,,2014-10-10,"July 7, 2014","UK,Adult Alternative,Alternative Rock,Indie Rock,Rock",
23696,Kid Ink,Main Chick,60.0,20.0,2014-10-10,"March 11, 2014",Rap,Chris Brown
23742,Dustin Lynch,Where It's At,42.0,20.0,2014-10-03,"March 31, 2014","Rock,Country",
23743,Jason Derulo,Wiggle,5.0,21.0,2014-10-03,"June 6, 2014","Pop,Rap",Snoop Dogg
23754,OneRepublic,Love Runs Out,15.0,20.0,2014-10-03,"April 14, 2014","Gaming,Adult Contemporary,Pop-Rock,Pop,Rock,Soul",
23778,Nicki Minaj,Pills N Potions,24.0,18.0,2014-10-03,"May 21, 2014",Rap,
23785,Eli Young Band,Dust,79.0,9.0,2014-10-03,"February 3, 2014","Country,Rock",
23789,Trey Songz,Foreign,84.0,10.0,2014-10-03,"May 13, 2014","DMV,R&;B,Rap",
23861,Jason Aldean,Two Night Town,,,2014-09-26,"October 7, 2014","Country,Rock",
23871,"Michael Jackson, Justin Timberlake",Love Never Felt So Good,9.0,20.0,2014-09-26,"May 2, 2014","Eighties,Soul,Disco,Dance,Remix,R&;B,Pop",
23880,Jeezy,Seen It All,85.0,2.0,2014-09-26,"June 30, 2014",Rap,Jay Z
23881,Eric Church,Cold One,88.0,6.0,2014-09-26,"June 2, 2014","Country,Rock",
23882,Jason Aldean,Sweet Little Somethin',71.0,2.0,2014-09-26,"October 7, 2014","Country,Rock",
23883,Usher,Good Kisser,65.0,19.0,2014-09-26,"May 5, 2014","R&;B,Pop",
23928,"DJ Snake, Lil Jon",Turn Down For What,4.0,37.0,2014-09-19,"December 18, 2013","Screen,Soundtrack,Memes,Electronic,Pop,Rap,Producer",
23961,Joe Nichols,Yeah,41.0,20.0,2014-09-19,"January 27, 2014","Country,Rock",
23962,Maroon 5,It Was Always You,45.0,3.0,2014-09-19,"August 29, 2014","Alternative Rock,Pop",
23968,"Steve Aoki, Chris Lake, Tujamo",Delirious,90.0,3.0,2014-09-19,"July 1, 2014","Dance,Pop,Electronic",Kid Ink
23973,Rita Ora,I Will Never Let You Down,77.0,6.0,2014-09-19,"March 1, 2014","Electronic,Electro-Pop,UK,R&;B,Pop",
23974,Brad Paisley,River Bank,54.0,18.0,2014-09-19,"April 14, 2014",Country,
23976,Usher,She Came To Give It To You,89.0,2.0,2014-09-19,"July 8, 2014","R&;B,Rap",Nicki Minaj
24028,Wiz Khalifa,We Dem Boyz,43.0,20.0,2014-09-12,"February 11, 2014","Trap,Hip-Hop,Memes,Rap",
24035,Lee Brice,I Don't Dance,33.0,20.0,2014-09-12,"February 18, 2014","Country,Rock",
24062,Billy Currington,We Are Tonight,60.0,19.0,2014-09-12,"September 17, 2013","Country,Rock",
24066,Ariana Grande,Best Mistake,49.0,2.0,2014-09-12,"August 12, 2014","Rap,R&;B,Pop",Big Sean
24070,Chris Young,Who I Am With You,48.0,19.0,2014-09-12,"January 20, 2014",Country,
24072,Pharrell Williams,Come Get It Bae,23.0,15.0,2014-09-12,"March 3, 2014","R&;B,Pop",
24115,KONGOS,Come With Me Now,31.0,21.0,2014-09-05,"July 31, 2012","Rock,Alternative Rock",
24123,Ingrid Michaelson,Girls Chase Boys,52.0,20.0,2014-09-05,"February 4, 2014","Pop-Rock,Pop,Indie Pop",
24146,Ed Sheeran,Sing,13.0,20.0,2014-09-05,"April 8, 2014","Contemporary Folk,Funk,R&;B,UK,Pop",
24151,KCamp,Cut Her Off,49.0,20.0,2014-09-05,"January 1, 2013",Rap,2 Chainz
24168,Shakira,Dare,53.0,11.0,2014-09-05,"March 25, 2014","Pop,Electro-Pop",
24210,MKTO,Classic,14.0,27.0,2014-08-29,"June 21, 2013","Pop,Rap",
24213,Bastille,Pompeii,5.0,53.0,2014-08-29,"February 22, 2013","UK,Pop-Rock,Rock,Adult Contemporary,Adult Alternative,Alternative Rock,Indie Pop,Indie Rock,Pop,Alternative Pop",
24217,Florida Georgia Line,This Is How We Roll,15.0,28.0,2014-08-29,,Country,Luke Bryan
24239,5 Seconds Of Summer,She Looks So Perfect,24.0,20.0,2014-08-29,"February 21, 2014","Australia,Punk Rock,Pop-Rock,Pop,Rock",
24250,AJR,I'm Ready,65.0,11.0,2014-08-29,"January 1, 2013",Pop,
24263,Blake Shelton,My Eyes,39.0,16.0,2014-08-29,,"Country,Rock",Gwen Sebastian
24311,Paramore,Ain't It Fun,10.0,24.0,2014-08-22,"April 9, 2013","Adult Alternative,Adult Contemporary,Alternative Rock,Funk Rock,Pop-Rock,Pop,Rock",
24324,Rixton,Me And My Broken Heart,14.0,20.0,2014-08-22,"March 14, 2014","Rock,Pop-Rock,Pop",
24329,Jake Owen,Beachin',26.0,20.0,2014-08-22,"December 3, 2013","Country,R&;B,Rock",
24347,"Jack, Jack",Wild Life,,,2014-08-22,"October 31, 2014",Rap,
24357,Katy Perry,Birthday,17.0,18.0,2014-08-22,"October 18, 2013","Disco,Pop",
24358,Eric Paslay,Song About A Girl,85.0,10.0,2014-08-22,"February 4, 2014",Country,
24401,Jason Derulo,Talk Dirty,3.0,33.0,2014-08-15,"August 2, 2013","Pop,R&;B,Rap",2 Chainz
24408,Trey Songz,Na Na,21.0,28.0,2014-08-15,"January 21, 2014","DMV,R&;B",
24414,Ty Dolla $ign,Or Nah,48.0,20.0,2014-08-15,"January 6, 2014",Rap,"Wiz Khalifa, DJ Mustard"
24437,Hilary Duff,Chasing The Sun,,,2014-08-15,"July 23, 2014","Folk,Pop",
24503,Justin Timberlake,Not A Bad Thing,8.0,22.0,2014-08-08,"September 30, 2013","R&;B,Pop",
24509,Luke Bryan,Play It Again,14.0,20.0,2014-08-08,"March 24, 2014",Country,
24536,YG,Who Do You Love?,54.0,20.0,2014-08-08,"March 18, 2014","Fashion,Canada,West Coast,Rap",Drake
24542,Lorde,Tennis Court,71.0,18.0,2014-08-08,"June 7, 2013","Alternative Pop,Alternative,Downtempo,New Zealand,Art Pop,Adult Alternative,Trip-Hop,Electro-Pop,Pop",
24543,"""Weird Al"" Yankovic",Word Crimes,39.0,2.0,2014-08-08,"July 15, 2014","Parody,Comedy,Pop",
24544,Troye Sivan,Happy Little Pill,,,2014-08-08,"July 25, 2014",Pop,
24552,Tyler Farr,Whiskey In My Water,52.0,18.0,2014-08-08,,Pop,
24576,5 Seconds Of Summer,Everything I Didn't Say,,,2014-08-01,"June 27, 2014","Australia,Punk Rock,Pop-Rock,Pop,Rock",
24599,American Authors,Best Day Of My Life,11.0,36.0,2014-08-01,"March 19, 2013","Adult Alternative,Adult Contemporary,Pop-Rock,Alternative Rock,Rock,Indie Pop,Indie Rock,Pop",
24646,Ca$h Out,She Twerkin,98.0,3.0,2014-08-01,"February 14, 2014",Rap,
24736,George Strait,I Got A Car,89.0,7.0,2014-07-25,"November 4, 2013",Country,
24737,The Band Perry,Chainsaw,86.0,9.0,2014-07-25,"March 3, 2014","Country,Rock",
24812,Naughty Boy,La La La,19.0,20.0,2014-07-18,"May 1, 2013","Electronic,R&;B,UK,Pop",Sam Smith
24814,Justin Moore,Lettin' The Night Roll,49.0,20.0,2014-07-18,"September 17, 2013","Rock,Country",
24816,Shawn Mendes,Life Of The Party,24.0,2.0,2014-07-18,"June 26, 2014","Canada,Pop",
24828,Busta Rhymes,Calm Down,,,2014-07-18,"July 1, 2014",Rap,Eminem
24830,Craig Campbell,Keep Them Kisses Comin',72.0,10.0,2014-07-18,,Pop,
24832,Jennifer Lopez,First Love,87.0,3.0,2014-07-18,"May 1, 2014",Pop,
24833,Afrojack,Ten Feet Tall,,,2014-07-18,"February 3, 2014","Pop,Electronic",Wrabel
24909,Robin Thicke,Get Her Back,,,2014-07-11,"May 1, 2014","R&;B,Pop",
24914,"Jamie N Commons,, Ambassadors",Jungle,87.0,2.0,2014-07-11,,Rap,
24922,Miranda Lambert,Automatic,35.0,19.0,2014-07-11,"February 17, 2014","Rock,Country",
24924,Pitbull,Wild Wild Love,30.0,18.0,2014-07-11,"February 25, 2014","Pop,Rap",G.R.L.
24952,5 Seconds Of Summer,Kiss Me Kiss Me,,,2014-07-04,"June 27, 2014","Australia,Punk Rock,Pop-Rock,Pop,Rock",
24961,Ed Sheeran,Afire Love,,,2014-07-04,"June 23, 2014","Rock,UK,Pop",
24969,Imagine Dragons,Demons,6.0,61.0,2014-07-04,"February 14, 2012","Adult Alternative,Adult Contemporary,Alternative Pop,Alternative Rock,Pop-Rock,Alternative,Indie Rock,Pop,Rock",
24985,Brett Eldredge,Beat Of The Music,44.0,20.0,2014-07-04,"September 30, 2013",Country,
24999,Jhene Aiko,The Worst,43.0,20.0,2014-07-04,"November 12, 2013",R&;B,
25015,Imagine Dragons,On Top Of The World,79.0,20.0,2014-07-04,"February 14, 2012","Indie Pop,Indie,Adult Alternative,Alternative Pop,Alternative Rock,Pop-Rock,Alternative,Indie Rock,Pop,Rock",
25017,Lana Del Rey,West Coast,17.0,2.0,2014-07-04,"April 14, 2014","Psychedelic Rock,Alternative,Rock,Trip-Hop,Dream-Pop,Pop,Alternative Pop",
25042,PSY,Hangover,,,2014-06-27,"June 8, 2014","K-Pop (\xec\xbc\x80\xec\x9d\xb4\xed\x8c\x9d),Pop,Rap",Snoop Dogg
25095,Shakira,Empire,58.0,12.0,2014-06-27,"February 25, 2014","Latin Rock,Rock,Ballad,Pop",
25099,Neon Trees,Sleeping With A Friend,51.0,16.0,2014-06-27,"January 11, 2014",Rap,
25105,Sara Bareilles,I Choose You,81.0,5.0,2014-06-27,"January 17, 2014","Rock,Pop",
25144,Brantley Gilbert,Bottoms Up,20.0,25.0,2014-06-20,"December 16, 2013",Country,
25151,Kid Ink,Show Me,13.0,31.0,2014-06-20,"September 17, 2013","DMV,West Coast,R&;B,Rap",Chris Brown
25155,One Direction,Story Of My Life,6.0,32.0,2014-06-20,"October 28, 2013","Folk Rock,Folk,Boy Band,UK,Pop",
25173,Lana Del Rey,Ultraviolence,,,2014-06-20,"June 4, 2014","Alternative Rock,Rock,Alternative Pop,Alternative,Dream-Pop,Pop",
25198,Tiesto,Red Lights,56.0,13.0,2014-06-20,"December 13, 2013","Pop,Electronic",
25199,Coldplay,Magic,14.0,14.0,2014-06-20,"March 3, 2014","UK,Adult Alternative,Ballad,Baroque Pop,Alternative Rock,Rock",
25202,Phillip Phillips,Raging Fire,58.0,8.0,2014-06-20,"March 3, 2014","Folk Rock,Pop-Rock,Pop,Rock",
25245,Beyonce,Partition,23.0,21.0,2014-06-13,"December 13, 2013","R&;B,Pop",
25268,Rascal Flatts,Rewind,38.0,20.0,2014-06-13,"May 13, 2014",Country,
25271,Austin Mahone,Mmm Yeah,49.0,15.0,2014-06-13,"January 24, 2014","R&;B,Rap,Pop",Pitbull
25276,Lana Del Rey,Shades Of Cool,,,2014-06-13,"May 26, 2014","Alternative Rock,Alternative Pop,Alternative,Blues Rock,Pop,Rock",
25282,Keith Urban,Cop Car,41.0,18.0,2014-06-13,"September 10, 2013",Country,
25286,John Mayer,XO,,,2014-06-13,"May 27, 2014",Rock,
25288,5 Seconds Of Summer,Don't Stop,47.0,3.0,2014-06-13,"May 9, 2014","Australia,Punk Rock,Pop-Rock,Pop,Rock",
25292,Jay Z,Part II,77.0,16.0,2014-06-13,"July 4, 2013",Rap,Beyonce
25293,Future,I Won,98.0,3.0,2014-06-13,"April 8, 2014",Rap,Kanye West
25309,Michael Jackson,Billie Jean,1.0,25.0,2014-06-06,,"Eighties,Funk,Synth-Pop,Soul,Soul Pop,R&;B,Pop",
25336,Michael Jackson,Slave To The Rhythm,,,2014-06-06,"May 8, 2014","Synth-Pop,R&;B,Pop",
25341,Passenger,Let Her Go,5.0,43.0,2014-06-06,"February 24, 2012","Indie Rock,Indie Pop,Folk Rock,Acoustic,Pop,Folk",
25342,Thomas Rhett,Get Me Some Of That,41.0,20.0,2014-06-06,"November 18, 2013",Country,
25364,Eric Church,Give Me Back My Hometown,36.0,20.0,2014-06-06,"February 11, 2014","Country,Rock",
25379,Sam Smith,Leave Your Lover,,,2014-06-06,"May 26, 2014","UK,Pop",
25383,Young Thug,Stoner,47.0,15.0,2014-06-06,"February 4, 2014","Atlanta,Trap,Rap",
25385,Shakira,Can't Remember To Forget You,15.0,19.0,2014-06-06,"January 12, 2014","Pop-Rock,Ska,Pop",Rihanna
25427,Eminem,Headlights,45.0,8.0,2014-05-30,"November 5, 2013","SHADYXV,Producer,Rap",Nate Ruess
25432,Eminem,The Monster,1.0,29.0,2014-05-30,"October 29, 2013","Hip-Hop,Pop,Rap",Rihanna
25451,Jerrod Niemann,Drink To That All Night,34.0,20.0,2014-05-30,"October 21, 2013","Rock,Country",
25460,Fitz And The Tantrums,The Walker,67.0,12.0,2014-05-30,"December 10, 2013","Adult Alternative,Alternative Rock,Alternative Dance,Electro-Pop,Indie Pop,Indie Rock,Neo Soul,Pop",
25463,The Black Keys,Fever,77.0,3.0,2014-05-30,"March 24, 2014","Adult Alternative,Alternative Rock,Blues Rock,Indie Rock,Rock",
25467,Ed Sheeran,One,,,2014-05-30,"May 2, 2014","Rock,UK,Pop",
25477,Craig Morgan,Wake Up Lovin' You,99.0,2.0,2014-05-30,"July 8, 2013",Country,
25509,Aloe Blacc,The Man,8.0,20.0,2014-05-23,"September 24, 2013","Adult Contemporary,Alternative R&;B,Adult Alternative,Soul Pop,Soul,Pop,R&;B",
25519,Ellie Goulding,Burn,13.0,36.0,2014-05-23,"July 5, 2013","UK,Electro-Pop,Synth-Pop,Pop",
25520,Avicii,Hey Brother,16.0,23.0,2014-05-23,"October 9, 2013","Electro House,Pop,Dance",
25534,Demi Lovato,Neon Lights,36.0,20.0,2014-05-23,"November 19, 2013",Pop,
25549,Hunter Hayes,Invisible,44.0,12.0,2014-05-23,"January 26, 2014",Country,
25561,Brantley Gilbert,17 Again,,,2014-05-23,"May 19, 2014","Country,Rock",
25566,ScHoolboy Q,Man Of The Year,62.0,13.0,2014-05-23,"November 19, 2013","West Coast,Rap",
25569,Blake Shelton,Doin' What She Likes,35.0,17.0,2014-05-23,"January 6, 2014",Country,
25615,Lorde,Royals,1.0,44.0,2014-05-16,"June 3, 2013","Alternative,Art Pop,Adult Alternative,New Zealand,Memes,Electro-Pop,Alternative Pop,Pop",
25617,Beyonce,Drunk In Love,2.0,20.0,2014-05-16,"December 17, 2013","R&;B,Pop",Jay Z
25649,Brantley Gilbert,My Baby's Guns N' Roses,,,2014-05-16,"May 19, 2014","Country,Rock",
25658,"Kristen Bell, Idina Menzel",For The First Time In Forever,57.0,19.0,2014-05-16,"November 27, 2013","Soundtrack,Pop,Disney",
25660,Katy Tiz,The Big Bang,,,2014-05-16,"April 24, 2014",Pop,
25705,Imagine Dragons,Radioactive,3.0,87.0,2014-05-09,"February 14, 2012","Adult Alternative,Dubstep,Alternative Pop,Alternative Rock,Pop-Rock,Alternative,Electronic Rock,Pop,Rock",
25728,Avril Lavigne,Hello Kitty,,,2014-05-09,"November 5, 2013","Japanese,Japan,J-Pop,Dance,Rock,Dubstep,Pop-Rock,Canada,Pop",
25731,B.o.B,John Doe,69.0,5.0,2014-05-09,"December 3, 2013",Rap,Priscilla
25736,"Kristen Bell, Agatha Lee Monn, Katie Lopez",Do You Want To Build A Snowman?,51.0,18.0,2014-05-09,"November 27, 2013","Soundtrack,Pop,Disney",
25737,Randy Houser,Goodnight Kiss,52.0,16.0,2014-05-09,"January 22, 2013","Country,Rock",
25743,Dierks Bentley,I Hold On,40.0,19.0,2014-05-09,"February 25, 2014",Country,
25818,Arctic Monkeys,Do I Wanna Know?,70.0,20.0,2014-05-02,"June 18, 2013","British Rock,UK,Adult Alternative,Soundtrack,Psychedelic Rock,Blues Rock,Indie Rock,Alternative Rock,Rock",
25838,Frankie Ballard,Helluva Life,51.0,20.0,2014-05-02,"July 29, 2013",Country,
25841,Sara Evans,Slow Me Down,89.0,5.0,2014-05-02,"March 1, 2014",Country,
25906,Jason Aldean,When She Says Baby,38.0,20.0,2014-04-25,"October 16, 2012","Country,Rock",
25918,Tim McGraw,Lookin' For That Girl,85.0,4.0,2014-04-25,"September 16, 2014","Country,Rock",
25924,Miley Cyrus,Adore You,21.0,18.0,2014-04-25,"December 17, 2013",Pop,
25929,Cash Cash,Take Me Home,57.0,13.0,2014-04-25,"July 15, 2013","Pop,Dance,Electronic",Bebe Rexha
25930,Romeo Santos,Odio,45.0,11.0,2014-04-25,"January 27, 2014","Romanticism Literature,En Espa\xc3\xb1ol,Latin Pop,R&;B,Pop,Rap,Bachata",Drake
25973,Katy Perry,Roar,1.0,35.0,2014-04-18,"August 10, 2013",Pop,
26014,"Kristen Bell, Santino Fontana",Love Is An Open Door,49.0,4.0,2014-04-18,"November 27, 2013","Soundtrack,Pop,Disney",
26015,Ellie Goulding,Beating Heart,88.0,3.0,2014-04-18,"March 11, 2014","Screen,Soundtrack,Pop",
26018,Bruno Mars,Young Girls,32.0,14.0,2014-04-18,"November 6, 2012","Ballad,Pop",
26021,Thompson Square,Everything I Shouldn't Be Thinking About,69.0,12.0,2014-04-18,"June 10, 2013",Country,
26061,Sara Bareilles,Brave,23.0,42.0,2014-04-11,"April 23, 2013","Power Pop,Pop-Rock,Pop,Rock",
26063,Miley Cyrus,Wrecking Ball,1.0,32.0,2014-04-11,"August 25, 2013","Adult Contemporary,Ballad,Memes,Pop",
26089,Lady Gaga,G.U.Y.,,,2014-04-11,"March 28, 2014","Electronic,Pop",
26106,Scotty McCreery,See You Tonight,52.0,18.0,2014-04-11,"October 15, 2013","Country,Rock",
26151,Drake,"Hold On, We're Going Home",4.0,33.0,2014-04-04,"August 7, 2013","R&;B,Canada",Majid Jordan
26173,Luke Bryan,Drink A Beer,31.0,20.0,2014-04-04,"January 1, 2013","Country,Rock",
26182,Jennifer Lopez,I Luh Ya Papi,77.0,2.0,2014-04-04,"March 11, 2014","Pop,Rap",French Montana
26185,Lady Antebellum,Compass,46.0,20.0,2014-04-04,"October 14, 2013","Country,Rock",
26190,John Newman,Love Me Again,30.0,18.0,2014-04-04,"May 17, 2013","Soul,Pop",
