,Artist,Name,Genre,Weekly_rank_avg,Peak_Position,Weeks_on_Chart,grammy_win
145,"TYLER, THE CREATOR",WHAT'S GOOD,"RAP,HARDCORE HIP-HOP,EXPERIMENTAL,ALTERNATIVE,WEST COAST",0.7888198757763976,0.5061224489795918,0.1247058823529411,0.0
146,LADY ANTEBELLUM,WHAT IF I NEVER GET OVER YOU,"BALLAD,COUNTRY",0.7923395445134576,0.5061224489795918,0.1247058823529411,0.0
147,"TYLER, THE CREATOR",PUPPET,"RAP,NEO-PSYCHEDELIA,PSYCHEDELIC,EXPERIMENTAL,SOUL,ALTERNATIVE,WEST COAST",0.5354037267080746,0.3428571428571428,0.0894117647058823,0.0
148,DJ KHALED,WEATHER THE STORM,"ATLANTA,TRAP,RAP",1.0,0.4244897959183673,0.1294117647058823,0.0
149,BRETT YOUNG,HERE TONIGHT,COUNTRY,0.3559006211180124,0.4183673469387755,0.2117647058823529,0.0
150,DEAN LEWIS,BE ALRIGHT,"ROCK,ALTERNATIVE POP,ALTERNATIVE ROCK,INDIE POP,INDIE ROCK,SINGER-SONGWRITER,ALTERNATIVE,INDIE,AUSTRALIA,POP",0.5087073713816946,0.2244897959183673,0.3176470588235294,0.0
151,"LIL BABY, GUNNA",DRIP TOO HARD,"HIP-HOP,ATLANTA,MEMES,MOTOWN,TRAP,RAP",0.1969597907813011,0.0306122448979591,0.388235294117647,0.0
152,ARIANA GRANDE,"THANK U, NEXT","DREAM-POP,MEMES,R&;B,POP",0.9260869565217392,0.0,0.3058823529411765,0.0
153,PINKFONG,BABY SHARK,"ALTERNATIVE ROCK,MEMES,CHILDREN&#39;S MUSIC,POP",0.4233609385783299,0.3163265306122448,0.2117647058823529,0.0
154,OLD DOMINION,MAKE IT SWEET,COUNTRY,0.3248635422548466,0.5612244897959183,0.2117647058823529,0.0
155,ELLA MAI,SHOT CLOCK,"UK,R&;B",0.9366459627329192,0.6224489795918366,0.1647058823529411,0.0
156,"LAUV, TROYE SIVAN",I'M SO TIRED...,POP,0.4535714285714286,0.8163265306122448,0.0470588235294117,0.0
157,BILLIE EILISH,YOU SHOULD SEE ME IN A CROWN,"INDIE,HIP-HOP,DARK POP,ALTERNATIVE POP,ALTERNATIVE,ELECTRO-POP,TRAP,DREAM-POP,INDIE POP,POP",0.6647515527950311,0.4081632653061224,0.0705882352941176,0.0
158,AVICII,SOS,"ELECTRO,ELECTRONIC,ELECTRO-POP,DANCE-POP,DANCE,SCANDIPOP,SCANDINAVIA,WEST COAST,EDM,SVERIGE,POP",0.3347826086956522,0.6836734693877551,0.0235294117647058,0.0
159,BILLIE EILISH,WISH YOU WERE GAY,"INDIE,INDIE POP,ALTERNATIVE,ALTERNATIVE POP,POP",0.6663354037267082,0.3061224489795918,0.1058823529411764,0.0
160,LIL UZI VERT,THAT'S A RACK,"EAST COAST,TRAP,RAP",0.5741200828157349,0.7653061224489796,0.0352941176470588,0.0
161,2 CHAINZ,RULE THE WORLD,"R&;B,RAP",0.8732919254658386,0.9489795918367346,0.0,0.0
162,RODDY RICCH,DIE YOUNG,"R&;B,TRAP,RAP",0.662111801242236,1.0,0.0,0.0
163,"ELLIE GOULDING, DIPLO",CLOSE TO ME,"ELECTRONIC TRAP,DANCE-POP,TRAP,ELECTRONIC,DANCE,ELECTRO,ELECTRO-POP,RAP,POP",0.3428485162180814,0.2346938775510204,0.2705882352941177,0.0
164,LAUREN DAIGLE,YOU SAY,"WORSHIP,CHRISTIAN POP,POP,CHRISTIAN",0.8363354037267081,0.2857142857142857,0.4823529411764705,0.0
165,A BOOGIE WIT DA HOODIE,SWERVIN,"TRAP,RAP",0.9410455486542446,0.3775510204081632,0.2117647058823529,0.0
166,"SZA, THE WEEKND, TRAVIS SCOTT",POWER IS POWER,"HIP-HOP,CANADA,SOUNDTRACK,RAP,POP",0.6312470138557096,0.9081632653061223,0.0,0.0
